Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1980","1980","toneladas","121406","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1981","1981","toneladas","55495","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1982","1982","toneladas","32057","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1983","1983","toneladas","70908","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1984","1984","toneladas","46030","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1985","1985","toneladas","267335","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1986","1986","toneladas","150688","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1987","1987","toneladas","208525","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1988","1988","toneladas","254755","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1989","1989","toneladas","101324","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1990","1990","toneladas","245690","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1991","1991","toneladas","374051","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1992","1992","toneladas","155058","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1993","1993","toneladas","216179","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1994","1994","toneladas","262273","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1995","1995","toneladas","173559","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1996","1996","toneladas","203422","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1997","1997","toneladas","418830","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1998","1998","toneladas","397637","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","1999","1999","toneladas","225866","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2000","2000","toneladas","400053","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2001","2001","toneladas","453464","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2002","2002","toneladas","567517","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2003","2003","toneladas","513800","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2004","2004","toneladas","648673","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2005","2005","toneladas","528266","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2007","2007","toneladas","620772","*","Cifras no oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2008","2008","toneladas","636558","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2009","2009","toneladas","660694","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2010","2010","toneladas","846855","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2011","2011","toneladas","846137","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2012","2012","toneladas","844998","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2013","2013","toneladas","709841","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2014","2014","toneladas","1120699","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2015","2015","toneladas","755248","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2016","2016","toneladas","920820","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2017","2017","toneladas","944462","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2018","2018","toneladas","902210","","Datos oficiales"
"TCL","Cultivos y productos de ganadería","203","España","5910","Exportaciones - Canditad","261","Aceite, oliva virgen","2019","2019","toneladas","1075727","","Datos oficiales"
